name;alt_name;russian_name;wiki_de;latin_name;image_url;inat_id;wiki_en;preferred_name;inat_name
Amsel;Schwarzdrossel;Чёрный дрозд;https://de.wikipedia.org/wiki/Amsel;Turdus merula;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-amsel_seehawer.jpg;12716;http://en.wikipedia.org/wiki/Common_blackbird;Eurasian Blackbird;Turdus merula
Bachstelze;;Белая трясогузка;https://de.wikipedia.org/wiki/Bachstelze;Motacilla alba;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_bachstelze.jpg;13695;http://en.wikipedia.org/wiki/White_wagtail;White Wagtail;Motacilla alba
Baumfalke;;Чеглок;https://de.wikipedia.org/wiki/Baumfalke;Falco subbuteo;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-baumfalke_falco_subbuteo_tatiana_bulyonkova.jpg;4643;http://en.wikipedia.org/wiki/Eurasian_hobby;Eurasian Hobby;Falco subbuteo
Birkenzeisig;;Чечётка;https://de.wikipedia.org/wiki/Birkenzeisig;Carduelis flammea;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-birkenzeisig_juha_soininen_984434.jpg;145300;http://en.wikipedia.org/wiki/Common_redpoll;Common Redpoll;Acanthis flammea
Blässhuhn;;Лысуха;https://de.wikipedia.org/wiki/Bl%C3%A4sshuhn;Fulica atra;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-blesshuhn_philip_mackenzie_717748.jpg;482;http://en.wikipedia.org/wiki/Eurasian_coot;Eurasian Coot;Fulica atra
Blaumeise;;Обыкновенная лазоревка;https://de.wikipedia.org/wiki/Blaumeise;Parus caeruleus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/umwelt/umweltgalerie/tiere/paruscaeruleus.jpg;144849;http://en.wikipedia.org/wiki/Eurasian_blue_tit;Eurasian Blue Tit;Cyanistes caeruleus
Buchfink;;Зяблик;https://de.wikipedia.org/wiki/Buchfink;Fringilla coelebs;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-buchfink_seehawer.jpg;10070;http://en.wikipedia.org/wiki/Common_chaffinch;Common Chaffinch;Fringilla coelebs
Buntspecht;;Большой пёстрый дятел;https://de.wikipedia.org/wiki/Buntspecht;Dendrocops major/Picoides major;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/buntspecht_markus_gimperlein.jpg;17871;http://en.wikipedia.org/wiki/Great_spotted_woodpecker;Great Spotted Woodpecker;Dendrocopos major
Dohle;;Галка;https://de.wikipedia.org/wiki/Dohle;Corvus monedula;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-dohle_michal_zacharzewski_n2d7wrg.jpg;8000;http://en.wikipedia.org/wiki/Western_jackdaw;Eurasian Jackdaw;Corvus monedula
Drosselrohrsänger;;Дроздовидная камышовка;https://de.wikipedia.org/wiki/Drosselrohrs%C3%A4nger;Acrocephalus arundinaceus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-drosselrohrsaenger_sergey_yeliseev.jpg;204456;http://en.wikipedia.org/wiki/Great_reed_warbler;Great Reed Warbler;Acrocephalus arundinaceus
Eichelhäher;;Сойка;https://de.wikipedia.org/wiki/Eichelh%C3%A4her;Garrulus glandarius;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-eichelh__her_seehaswer_vollbild.jpg;8229;http://en.wikipedia.org/wiki/Blue_jay;Blue Jay;Cyanocitta cristata
Eisvogel;;Обыкновенный зимородок;https://de.wikipedia.org/wiki/Eisvogel;Alcedo atthis;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-eisvogel_mglhhr8_karunakar_rayker.jpg;2599;http://en.wikipedia.org/wiki/Common_kingfisher;Common Kingfisher;Alcedo atthis
Elster;;Сорока;https://de.wikipedia.org/wiki/Elster;Pica pica;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-elster___foto_von_enrico_seehawer.jpg;144106;http://en.wikipedia.org/wiki/Eurasian_magpie;Eurasian Magpie;Pica pica
FitisLaubsänger;Fitis;Пеночка-весничка;https://de.wikipedia.org/wiki/Fitis;Phylloscopus trochilus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-fitis_steve_garvie.jpg;117055;http://en.wikipedia.org/wiki/Willow_warbler;Willow Warbler;Phylloscopus trochilus
Gartenbaumläufer;;Короткопалая пищуха;https://de.wikipedia.org/wiki/Gartenbauml%C3%A4ufer;Certhia brachydactyla;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gartenbaumlaeufer_aleph.jpg;7462;http://en.wikipedia.org/wiki/Short-toed_treecreeper;Short-toed Treecreeper;Certhia brachydactyla
Gartengrasmücke;;Садовая славка;https://de.wikipedia.org/wiki/Gartengrasm%C3%BCcke;Sylvia borin;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gartengrasmuecke_ron_knight.jpg;15302;http://en.wikipedia.org/wiki/Garden_warbler;Garden Warbler;Sylvia borin
Gartenrotschwanz;;Обыкновенная горихвостка;https://de.wikipedia.org/wiki/Gartenrotschwanz;Phoenicurus phoenicurus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gartenrotschwanz_steve_garvie.jpg;12992;http://en.wikipedia.org/wiki/Common_redstart;Common Redstart;Phoenicurus phoenicurus
Gelbspötter;;Зелёная пересмешка;https://de.wikipedia.org/wiki/Gelbsp%C3%B6tter;Hippolais icterina;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gelbspoetter_mike_pennington.jpg;116918;http://en.wikipedia.org/wiki/Icterine_warbler;Icterine Warbler;Hippolais icterina
Gimpel;Dompfaff;Снегирь;https://de.wikipedia.org/wiki/Dompfaff;Pyrrhula pyrrhula;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-1151392_gimpel_juha_soininen.jpg;9462;http://en.wikipedia.org/wiki/Eurasian_bullfinch;Eurasian Bullfinch;Pyrrhula pyrrhula
Girlitz;;Канареечный вьюрок;https://de.wikipedia.org/wiki/Girlitz;Serinus serinus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-girlitz_luis_garc__a.jpg;9236;http://en.wikipedia.org/wiki/European_serin;European Serin;Serinus serinus
Goldammer;;Обыкновенная овсянка;https://de.wikipedia.org/wiki/Goldammer;Emberiza citrinella;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-goldammer_alan_vernon.jpg;9195;http://en.wikipedia.org/wiki/Yellowhammer;Yellowhammer;Emberiza citrinella
Graureiher;;Серая цапля;https://de.wikipedia.org/wiki/Graureiher;Ardea cinera;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-graureiher___foto_von_enrico_seehawer.jpg;4954;http://en.wikipedia.org/wiki/Grey_heron;Grey Heron;Ardea cinerea
Grauschnäpper;;Серая мухоловка;https://de.wikipedia.org/wiki/Grauschn%C3%A4pper;Musicapa striata;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-grauschnaepper__jerzystrzelecki.jpg;12971;http://en.wikipedia.org/wiki/Spotted_flycatcher;Spotted Flycatcher;Muscicapa striata
Grauspecht;;Седой дятел;https://de.wikipedia.org/wiki/Grauspecht;Picus canus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-grauspecht_arudhio.jpg;18301;http://en.wikipedia.org/wiki/Grey-headed_woodpecker;Grey-headed Woodpecker;Picus canus
Grünfink;Grünling;Обыкновенная зеленушка;https://de.wikipedia.org/wiki/Gr%C3%BCnfink;Chloris chloris/Carduelis chloris;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gruenfink___foto_von_enrico_seehawer.jpg;145360;http://en.wikipedia.org/wiki/European_greenfinch;European Greenfinch;Chloris chloris
Grünspecht;;Зелёный дятел;https://de.wikipedia.org/wiki/Gr%C3%BCnspecht;Picus viridis;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gruenspecht_remy_bpl.jpg;18358;http://en.wikipedia.org/wiki/European_green_woodpecker;European Green Woodpecker;Picus viridis
Hänfling;Bluthänfling;Коноплянка;https://de.wikipedia.org/wiki/H%C3%A4nfling;Linaria cannabina;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haenfling_mindaugas_urbonas.jpg;558634;http://en.wikipedia.org/wiki/Common_linnet;Eurasian Linnet;Linaria cannabina
Haubenlerche;;Хохлатый жаворонок;https://de.wikipedia.org/wiki/Haubenlerche;Galerida cristata;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haubenlerche_avitopia.jpg;578607;http://en.wikipedia.org/wiki/Crested_lark;Crested Lark;Galerida cristata
Haubenmeise;;Хохлатая синица;https://de.wikipedia.org/wiki/Haubenmeise;Lophophanus cristatus/Parus cristatus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haubenmeise_artur_miko__ajewski.jpg;144830;http://en.wikipedia.org/wiki/European_crested_tit;Crested Tit;Lophophanes cristatus
Haubentaucher;;Большая поганка;https://de.wikipedia.org/wiki/Haubentaucher;Podiceps cristatus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haubentaucher_dickdaniels.jpg;4208;http://en.wikipedia.org/wiki/Great_crested_grebe;Great Crested Grebe;Podiceps cristatus
Hausrotschwanz;;Горихвостка-чернушка;https://de.wikipedia.org/wiki/Hausrotschwanz;Phoenicurus ochruros;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-hausrotschwanz_wikinoby.jpg;13000;http://en.wikipedia.org/wiki/Black_redstart;Black Redstart;Phoenicurus ochruros
Haussperling;Spatz;Домовый воробей;https://de.wikipedia.org/wiki/Haussperling;Passer domesticus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haussperling_iva_villi_ook2mf8.jpg;13858;http://en.wikipedia.org/wiki/House_sparrow;House Sparrow;Passer domesticus
Haustaube;;Сизый голубь;https://de.wikipedia.org/wiki/Haustaube;Columba livia domesticus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haustaube_nrao3t4_sanja_gjenero.jpg;3017;http://en.wikipedia.org/wiki/Rock_dove;Rock Pigeon;Columba livia
Heckenbraunelle;;Лесная завирушка;https://de.wikipedia.org/wiki/Heckenbraunelle;Prunella modularis;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-heckenbraunelle_jim_middleton.jpg;13988;http://en.wikipedia.org/wiki/Dunnock;Dunnock;Prunella modularis
Höckerschwan;;Лебедь-шипун;https://de.wikipedia.org/wiki/H%C3%B6ckerschwan;Cygnus olor;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_hoeckerschwan.jpg;6921;http://en.wikipedia.org/wiki/Mute_swan;Mute Swan;Cygnus olor
Hohltaube;;Клинтух;https://de.wikipedia.org/wiki/Hohltaube;Columba oenas;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-hohltaube_chris_cant.jpg;3033;http://en.wikipedia.org/wiki/Stock_dove;Stock Dove;Columba oenas
Klappergrasmücke;;Славка-завирушка;https://de.wikipedia.org/wiki/Klappergrasm%C3%BCcke;Sylvia curruca;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-klappergrasmuecke_steevie.jpg;15288;http://en.wikipedia.org/wiki/Lesser_whitethroat;Lesser Whitethroat;Sylvia curruca
Kleiber;;Поползни;https://de.wikipedia.org/wiki/Kleiber;Sitta europaea;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-kleiber_kevin_tuck_mgrw1tc.jpg;14799;http://en.wikipedia.org/wiki/Nuthatch;Nuthatches;Sittidae
Kleines Sumpfhuhn;;Малый погоныш;https://de.wikipedia.org/wiki/Kleines%20Sumpfhuhn;Porzana parva;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-kleines_sumpfhuhn_htalpa.jpg;508919;http://en.wikipedia.org/wiki/Little_crake;Little Crake;Zapornia parva
Kleinspecht;;Малый пёстрый дятел;https://de.wikipedia.org/wiki/Kleinspecht;Dryobates minor/Picoides minor;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-kleinspecht_thermos.jpg;792977;http://en.wikipedia.org/wiki/Lesser_spotted_woodpecker;Lesser Spotted Woodpecker;Dryobates minor
Kohlmeise;;Большая синица;https://de.wikipedia.org/wiki/Kohlmeise;Parus major;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-kohlmeise___foto_von_enrico_seehawer.jpg;203153;http://en.wikipedia.org/wiki/Great_tit;Great Tit;Parus major
