name;alt_name;russian_name;wiki_de;latin_name;image_url;inat_id;wiki_en;preferred_name;inat_name
Mäusebussard;;Обыкновенный канюк;https://de.wikipedia.org/wiki/M%C3%A4usebussard;Buteo buteo;https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/umwelt/umweltgalerie/tiere/buteo_1-loz.jpg;204472;http://en.wikipedia.org/wiki/Common_buzzard;Common Buzzard;Buteo buteo
Mauersegler;;Чёрный стриж;https://de.wikipedia.org/wiki/Mauersegler;Apus Apus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-mauerseglerapusapusklausroggel.jpg;6638;http://en.wikipedia.org/wiki/Common_swift;Common Swift;Apus apus
Mehlschwalbe;;Городская ласточка;https://de.wikipedia.org/wiki/Mehlschwalbe;Delichon urbica;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-mehlschwalbe_delichon_urbicum_estormiz.jpg;64705;http://en.wikipedia.org/wiki/Common_house_martin;Common House Martin;Delichon urbicum
Mittelspecht;;Средний пёстрый дятел;https://de.wikipedia.org/wiki/Mittelspecht;Leiopicus medicus/Dendrocopus medius;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-mittelspecht_am_futterring_maren_winter.jpg;792985;;Middle Spotted Woodpecker;Dendrocoptes medius
Mönchsgrasmücke;;Черноголовая славка;https://de.wikipedia.org/wiki/M%C3%B6nchsgrasm%C3%BCcke;Sylvia atricapilla;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_moenchsgrasmuecke.jpg;15282;http://en.wikipedia.org/wiki/Eurasian_blackcap;Eurasian Blackcap;Sylvia atricapilla
Nachtigall;;Западный соловей;https://de.wikipedia.org/wiki/Nachtigall;Luscinia megarhynchos;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-oaq0ahe.jpg;13079;http://en.wikipedia.org/wiki/Common_nightingale;Common Nightingale;Luscinia megarhynchos
Aaskrähe;Nebelkrähe;Чёрная ворона;https://de.wikipedia.org/wiki/Nebelkr%C3%A4he;Corvus corone corvix;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-nebelkaehe___foto_von_enrico_seehawer.jpg;204496;http://en.wikipedia.org/wiki/Carrion_crow;Carrion Crow;Corvus corone
Neuntöter;;Обыкновенный жулан;https://de.wikipedia.org/wiki/Neunt%C3%B6ter;Lanius collurio;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-neuntoeter_flkr_sergey_yeliseev.jpg;12038;http://en.wikipedia.org/wiki/Red-backed_shrike;Red-backed Shrike;Lanius collurio
Vogel Bülow;Pirol;Обыкновенная_иволга;https://de.wikipedia.org/wiki/Vogel%20B%C3%BClow;Oriolus oriolus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/natur/voegel/pirol_by_michel_idre.jpg;204556;http://en.wikipedia.org/wiki/Eurasian_golden_oriole;Eurasian Golden Oriole;Oriolus oriolus
Rabenkrähe;;Серая ворона;https://de.wikipedia.org/wiki/Rabenkr%C3%A4he;Corvus corone corone;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-rabenkraehe_helmut_gevert_mc2zqus.jpg;144757;http://en.wikipedia.org/wiki/Hooded_crow;Hooded Crow;Corvus cornix
Rauchschwalbe;;Деревенская ласточка;https://de.wikipedia.org/wiki/Rauchschwalbe;Hirundo rustica;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_rauchschwalbe.jpg;11901;http://en.wikipedia.org/wiki/Barn_swallow;Barn Swallow;Hirundo rustica
Reiherente;;Хохлатая чернеть;https://de.wikipedia.org/wiki/Reiherente;Aythya fuligula;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/letzte-aenderungen/mdb-seehawer_reiherente.jpg;7046;http://en.wikipedia.org/wiki/Tufted_duck;Tufted Duck;Aythya fuligula
Ringeltaube;;Вяхирь;https://de.wikipedia.org/wiki/Ringeltaube;Columba palumbus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-ringeltaube_dickdaniels_columba_palumbus.jpg;3048;http://en.wikipedia.org/wiki/Common_wood_pigeon;Common Wood-Pigeon;Columba palumbus
Rotkehlchen;;Зарянка;https://de.wikipedia.org/wiki/Rotkehlchen;Erithacus rubecula;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-rotkehlchen_vollbild.jpg;13094;http://en.wikipedia.org/wiki/European_robin;European Robin;Erithacus rubecula
Saatkrähe;;Грач;https://de.wikipedia.org/wiki/Saatkr%C3%A4he;Corvus frugilegus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-saatkraehe_john_haslam.jpg;8029;http://en.wikipedia.org/wiki/Rook_(bird);Rook;Corvus frugilegus
Schilfrohrsänger;;Камышовка-барсучок;https://de.wikipedia.org/wiki/Schilfrohrs%C3%A4nger;Acrocephalus schoenobaenus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-schilfrohrsaenger_acrocephalus_schoenobaenus_gabrielbuissart.jpg;116804;http://en.wikipedia.org/wiki/Sedge_warbler;Sedge Warbler;Acrocephalus schoenobaenus
Schwarzspecht;;Желна;https://de.wikipedia.org/wiki/Schwarzspecht;Dryocopus martius;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-schwarzspecht_frank_vassen.jpg;17835;http://en.wikipedia.org/wiki/Black_woodpecker;Black Woodpecker;Dryocopus martius
Schwanzmeise;;Длиннохвостая синица;https://de.wikipedia.org/wiki/Schwanzmeise;Aegithalos caudatus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/umwelt/fotostrecken/schwanzmeise_1204610_57923342.jpg;7278;http://en.wikipedia.org/wiki/Long-tailed_tit;Long-tailed Tit;Aegithalos caudatus
Singdrossel;;Певчий дрозд;https://de.wikipedia.org/wiki/Singdrossel;Turdus philomelos;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-singdrossel___foto_von_enrico_seehawer.jpg;12748;http://en.wikipedia.org/wiki/Song_thrush;Song Thrush;Turdus philomelos
Sommergoldhähnchen;;Красноголовый королёк;https://de.wikipedia.org/wiki/Sommergoldh%C3%A4hnchen;Regulus ignicapilla/Regulus ignicapillus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-sommergoldh__hnchen_noel_feans.jpg;117097;http://en.wikipedia.org/wiki/Common_firecrest;Firecrest;Regulus ignicapilla
Sperber;;Ястреб-перепелятник;https://de.wikipedia.org/wiki/Sperber;Accipiter nisus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-sperber_accipiter_nisus_mike_scott.jpg;5106;http://en.wikipedia.org/wiki/Eurasian_sparrowhawk;Eurasian Sparrowhawk;Accipiter nisus
Gemeiner Star;;Обыкновенный скворец;https://de.wikipedia.org/wiki/Gemeiner%20Star;Sturnus vulgaris;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-star___foto_von_enrico_seehawer.jpg;14850;http://en.wikipedia.org/wiki/Common_starling;European Starling;Sturnus vulgaris
Stockente;;Кряква;https://de.wikipedia.org/wiki/Stockente;Anas platyrhynchos;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_stockente.jpg;6930;http://en.wikipedia.org/wiki/Mallard;Mallard;Anas platyrhynchos
Sumpfmeise;;Черноголовая гаичка;https://de.wikipedia.org/wiki/Sumpfmeise;Parus palustris;https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/natur/artenschutz/sumpfmeise_parus_palustris_.jpg;144809;http://en.wikipedia.org/wiki/Marsh_tit;Marsh Tit;Poecile palustris
Sumpfrohrsänger;;Болотная камышовка;https://de.wikipedia.org/wiki/Sumpfrohrs%C3%A4nger;Acrocephalus palustris;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-sumpfrohrsaenger_jerzystrzelecki.jpg;116802;http://en.wikipedia.org/wiki/Marsh_warbler;Marsh Warbler;Acrocephalus palustris
Tannenmeise;;Московка;https://de.wikipedia.org/wiki/Tannenmeise;Peripatus ater/Parus ater;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-tannenmeise_1072253_ben_avery.jpg;144823;http://en.wikipedia.org/wiki/Coal_tit;Coal Tit;Periparus ater
Teichhuhn;;Камышница;https://de.wikipedia.org/wiki/Teichhuhn;Gallinula chloropus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-teichhuhn_adrian_van_leen_n5x03c8.jpg;201282;http://en.wikipedia.org/wiki/Common_moorhen;Eurasian Moorhen;Gallinula chloropus
Teichrohrsänger;;Тростниковая камышовка;https://de.wikipedia.org/wiki/Teichrohrs%C3%A4nger;Acrocephalus scirpaceus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-teichrohrsaenger_acrocephalus_scirpaceus_matthias_barby.jpg;204455;http://en.wikipedia.org/wiki/Eurasian_reed_warbler;Eurasian Reed Warbler;Acrocephalus scirpaceus
Trauerschnäpper;;Мухоловка-пеструшка;https://de.wikipedia.org/wiki/Trauerschn%C3%A4pper;Ficedula hypoleuca;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-trauerschnaepper_lars_falkdalen_lindahl.jpg;204512;http://en.wikipedia.org/wiki/European_pied_flycatcher;European Pied Flycatcher;Ficedula hypoleuca
Tüpfelsumpfhuhn;;Погоныш;https://de.wikipedia.org/wiki/T%C3%BCpfelsumpfhuhn;Porzana porzana;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-tuepfelsumpfhuhn_marek_szczepanek.jpg;155;http://en.wikipedia.org/wiki/Porzana;;Porzana
Turmfalke;;Обыкновенная пустельга;https://de.wikipedia.org/wiki/Turmfalke;Falco tinnunculus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-turmfalke_bugdog_742852.jpg;472766;http://en.wikipedia.org/wiki/Common_kestrel;Eurasian Kestrel;Falco tinnunculus
Wacholderdrossel;;Рябинник;https://de.wikipedia.org/wiki/Wacholderdrossel;Turdus pilaris;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-wacholderdrossel_mpf.jpg;12707;http://en.wikipedia.org/wiki/Fieldfare;Fieldfare;Turdus pilaris
Waldkauz;;Серая неясыть;https://de.wikipedia.org/wiki/Waldkauz;Strix aluco;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-waldkauz_nottsexminer.jpg;19898;http://en.wikipedia.org/wiki/Tawny_owl;Tawny Owl;Strix aluco
Waldohreule;;Ушастая сова;https://de.wikipedia.org/wiki/Waldohreule;Asio otus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-waldohreule_lukasz_lukasik.jpg;20307;http://en.wikipedia.org/wiki/Long-eared_owl;Long-eared Owl;Asio otus
Wanderfalke;;Сапсан;https://de.wikipedia.org/wiki/Wanderfalke;Falco peregrinus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-wanderfalke_georges_lignier.jpg;4647;http://en.wikipedia.org/wiki/Peregrine_falcon;Peregrine Falcon;Falco peregrinus
Wasserralle;;Водяной пастушок;https://de.wikipedia.org/wiki/Wasserralle;Rallus aquaticus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-wasserralle_pierre_dalous.jpg;513926;http://en.wikipedia.org/wiki/Water_rail;Water Rail;Rallus aquaticus
Wintergoldhähnchen;;Желтоголовый королёк;https://de.wikipedia.org/wiki/Wintergoldh%C3%A4hnchen;Regulus regulus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-wintergoldhaehnchen_trzy_hem.jpg;793469;http://en.wikipedia.org/wiki/Goldcrest;Goldcrest;Regulus regulus
Zaunkönig;;Крапивник;https://de.wikipedia.org/wiki/Zaunk%C3%B6nig;Troglodytes troglodytes;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-zaunkoenig_joan_kocur_779333.jpg;145363;http://en.wikipedia.org/wiki/Eurasian_wren;Eurasian Wren;Troglodytes troglodytes
Erlenzeisig;Zeisig;Чиж;https://de.wikipedia.org/wiki/Zeisig;Carduelis spinus;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-zeisig_marek_szczepanek.jpg;145303;http://en.wikipedia.org/wiki/Eurasian_siskin;Eurasian Siskin;Spinus spinus
Zilpzalp;;Пеночка-теньковка;https://de.wikipedia.org/wiki/Zilpzalp;Phylloscopus collybita;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-zilpzalp_aleph.jpg;117016;http://en.wikipedia.org/wiki/Common_chiffchaff;Common Chiffchaff;Phylloscopus collybita
Zwergsumpfhuhn;;Погоныш-крошка;https://de.wikipedia.org/wiki/Zwergsumpfhuhn;Porzana pusilla;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-zwergsumpfhuhn__jason_girvan.jpg;508920;http://en.wikipedia.org/wiki/Baillon's_crake;Baillon's Crake;Zapornia pusilla
Zwergschnäpper;;Малая мухоловка;https://de.wikipedia.org/wiki/Zwergschn%C3%A4pper;Ficedula parva;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/unterhaltung/zwergschnaepper_suresh_v.s.jpg;68519;http://en.wikipedia.org/wiki/Taiga_flycatcher;Taiga Flycatcher;Ficedula albicilla
Zwergtaucher;;Малая поганка;https://de.wikipedia.org/wiki/Zwergtaucher;Tachybaptus ruficollis;https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-zwergtaucher_martien_brand.jpg;4237;http://en.wikipedia.org/wiki/Little_grebe;Little Grebe;Tachybaptus ruficollis
